obsid,ra,dec,
316301101 , 209.676534 , 23.107054 ,
484014193 , 336.171364 , 2.783487 ,
320105194 , 111.36739 , 34.425122 ,
125604054 , 157.016266 , 10.747924 ,
333005129 , 230.73068 , 31.877217 ,
334602076 , 230.430758 , 35.067425 ,
487208129 , 155.332195 , 1.236244 ,
132809192 , 186.203568 , 41.198326 ,
236714223 , 198.07587 , 3.834636 ,
102311132 , 125.162129 , 36.329729 ,
535607196 , 106.62007 , 41.090509 ,
123011177 , 200.612511 , 22.731429 ,
364706133 , 42.455643 , 8.189096 ,
438014176 , 107.50307 , 45.34429 ,
296113022 , 106.31549 , 39.533258 ,
568203213 , 221.071147 , 57.798701 ,
576915003 , 274.888339 , 37.244346 ,
340406197 , 128.823727 , 6.376637 ,
221506171 , 208.073773 , 16.674016 ,
327508080 , 197.316878 , 0.261947 ,
236709150 , 201.20783 , 3.70624 ,
199606193 , 135.151783 , 31.76567 ,
496416052 , 121.190721 , 48.791505 ,
181714166 , 103.7985 , 47.487732 ,
186010034 , 131.893042 , 25.517429 ,
436816115 , 225.983185 , -0.242783 ,
191208016 , 118.28936 , 11.590867 ,
105602020 , 193.850286 , -4.807231 ,
68508172 , 338.644139 , 1.886261 ,
497914113 , 181.898143 , 40.919976 ,
142001064 , 207.301416 , 3.625681 ,
