name,specobjid,ra,dec,plate,mjd,fiberid,fehadop,fehadopunc,elodiervfinal,elodiervfinalerr,fehspec,fehspecunc,psfMag_g,fiberMag_g
S3474,2247450478210213888,172.41599,40.780929,1996,53436,561,-1.830419,0.0351,46.519073,3.483719,-1.830419,0.0351,16.407906,16.763817
S3423,1883702070486263808,216.05643,46.99495,1673,53462,260,-1.882508,0.0361,4.246969,2.836337,-1.882508,0.0361,16.547928,16.830256
S4044,1514456917949310976,206.53184,43.980944,1345,52814,442,-1.493476,0.127209,-72.907448,4.595607,-1.296385,0.081794,17.4998,17.824383
S3942,1533480672092514304,165.42321,42.963127,1362,53050,18,-1.254997,0.122961,-83.229805,4.076214,-1.132036,0.0256,17.051758,17.457714
S900,3618818029212770304,183.04301,11.760265,3214,54866,639,-1.653291,0.569,176.242584,8.177551,-1.895388,0.149,18.884075,19.22698
S3776,1770086780427593728,249.1692,24.12782,1572,53177,626,-1.831564,0.0343,-129.825043,2.833451,-1.831564,0.0343,16.203608,16.521446
S130,3790924586523140096,195.30587,46.962467,3367,54998,71,-1.99481,0.0412,-147.251572,2.620423,-1.99481,0.0412,16.706253,17.015869
S4125,3834978168687665152,224.97485,41.480871,3406,54970,593,-1.967524,0.328,-182.645447,2.488394,-2.597103,0.0715,16.792212,17.101662
S4142,1452478270783121408,223.30509,42.175526,1290,52734,245,-2.050313,0.0448,5.60253,2.451573,-2.050313,0.0448,15.170877,15.504321
S1002,3628878285712236544,145.03384,37.48114,3223,54865,374,-2.265303,0.101,147.770081,8.380877,-2.265303,0.101,18.741974,19.054073
S2253,3230334725683963904,156.4789,9.020667,2869,54454,465,-9999,-9999,303.956818,4.928896,-9999,-9999,18.677448,19.041105
S1151,3547757691181047808,143.60588,7.3276801,3151,54804,171,-1.928325,0.239,292.183624,1.719563,-1.994115,0.0639,16.133295,16.439013
S1253,3538772756499898368,342.41355,-1.2359533,3143,54772,252,-2.31357,0.0605,-207.349548,3.935004,-2.31357,0.0605,18.440746,18.731321
S4074,1508805427628894208,248.59097,32.190796,1340,52781,362,-1.676245,0.0233,-84.417992,2.22985,-1.676245,0.0233,15.354892,15.698435
S751,3646908352648290304,195.59529,49.791031,3239,54888,431,-1.528182,0.055615,-281.251953,2.152212,-1.528182,0.055615,16.795254,17.116001
S4325,1026907617177397248,203.29365,-2.8463956,912,52427,316,-1.603533,0.057,200.601425,3.425992,-1.603533,0.057,16.179308,16.527317
S674,3661542852497874944,184.22832,5.947062,3252,54893,423,-1.134552,0.09235,-10.682017,7.926136,-1.042202,0.0433,18.830587,19.18256
S2832,2787840383718104064,198.35774,18.135092,2476,53826,408,-2.041008,0.1245,-69.546272,6.903059,-2.041008,0.1245,16.997248,17.302149
S709,3663818291744448512,189.04771,14.874333,3254,54889,509,-2.038916,0.0314,118.946877,2.10435,-2.038916,0.0314,15.891679,16.177683
S3581,2302564046865459200,28.731966,0.462171,2045,53350,359,-2.299594,0.1208,-75.266136,3.55007,-2.299594,0.1208,17.408678,17.707645
S3632,2146044992282454016,25.125336,-0.737354,1906,53293,290,-1.788,0.0319,-130.32016,2.855084,-1.788,0.0319,16.650312,16.946428
S423,3704323476350410752,254.90659,23.716681,3290,54941,410,-2.053222,0.0313,-376.910889,1.848607,-2.053222,0.0313,16.424244,16.769869
S4418,998795852778596352,196.77148,53.138593,887,52376,446,-1.479246,0.485,16.834026,3.429584,-1.755959,0.0353,16.352087,16.660213
S4704,668886558677428224,235.22209,3.2055069,594,52045,371,-2.341087,0.0471,-213.256088,3.17136,-2.341087,0.0471,16.725319,17.030586
S1560,3303408546229544960,223.02782,-0.271402,2934,54626,66,-1.728677,0.026256,-178.243835,9.526704,-1.754934,0.1082,19.32362,19.609184
S3232,2534545060880476160,333.15849,22.064983,2251,53557,525,-1.31753,0.120687,-94.191429,4.894497,-1.196843,0.053372,17.749561,18.093279
S1428,2873395046265153536,275.52941,64.302065,2552,54632,358,-1.600831,0.0321,-400.030975,1.57689,-1.600831,0.0321,15.436813,15.757122
S1542,2609963055299192832,301.32529,-11.072551,2318,54628,462,-1.747306,0.0488,-203.626343,5.573008,-1.747306,0.0488,18.51527,18.843689
S1295,3533222971021828096,304.12926,-12.091482,3138,54740,542,-1.2282,0.337,-249.085159,3.057556,-1.738431,0.0385,18.083282,18.40494
S2177,2931853328251906048,199.83765,17.062568,2604,54484,36,-1.433169,0.051029,104.510521,8.955862,-1.38214,0.0787,18.480236,18.769117
S3163,2532183310055008256,309.22041,13.537498,2249,53566,125,-1.752687,0.137,-187.907562,2.446778,-1.856783,0.0384,15.801307,16.167141
