name ra  dec
S605 166.61319 3.38518 12.1
S606 219.94842 55.76215 64.6
S607 219.63031 55.83188 33.9
S608 216.63177 54.54956 15.1
S609 217.65248 54.89883 26.0
S610 219.85216 54.38618 29.3
S611 219.93381 54.78184 14.0
S612 219.93892 54.80601 16.9
S613 162.56808 17.13178 29.3
S614 161.42706 16.63136 66.1
S615 245.85071 49.90641 25.2
S616 245.65645 50.19364 11.3
S617 243.24992 50.33122 10.8
S618 170.84471 46.26764 11.3
S619 243.47467 50.79725 24.4
S620 243.3437 50.9625 12.6
S621 245.81857 50.51904 24.3
S622 143.00368 20.2678 17.3
S623 141.11819 19.09683 21.6
S624 169.43974 47.35518 12.7
S625 168.58359 45.47951 45.2
S626 161.03239 14.8071 20.8
S627 160.99503 17.10856 12.3
S628 170.31107 20.3331 11.1
S629 171.70879 20.93077 20.5
S630 172.81541 19.83679 25.7
S631 171.54629 20.53028 12.1
S632 171.34489 19.879 34.8
S633 169.99268 19.20253 19.9
S634 171.31653 19.76249 29.6
S635 136.856 61.46885 32.9
S636 135.73334 61.21493 20.1
S637 172.591 19.27261 19.0
S638 170.70283 18.92516 30.9
S639 171.71985 19.70508 23.5
S640 171.97813 18.94394 26.5
S641 132.17902 62.88191 32.6
S642 132.87422 63.10472 33.3
S643 137.49087 63.22109 50.4
S644 171.87613 18.88065 18.0
S645 133.50439 63.22831 35.2
S646 133.44244 63.07319 34.2
S647 75.0296 -3.83604 9.6
S648 74.96667 -4.27982 44.6
S649 73.90036 -2.95588 14.2
S650 75.79642 -4.47171 15.6
S651 176.50891 11.35088 36.4
S652 176.91313 12.41058 40.3
S653 176.75359 13.85571 49.4
S654 176.20314 12.3891 33.0
S655 176.3387 11.80846 15.4
S656 177.03564 11.75697 23.8
S657 177.26703 12.00828 22.1
S658 177.55127 13.4615 20.9
S659 176.49109 12.75281 32.4
S660 183.96226 4.52619 11.8
S661 184.06964 4.79416 32.8
S662 184.60652 6.00977 21.0
S663 118.61541 26.62185 54.7
S664 185.10051 4.93419 20.8
S665 184.88263 6.08121 12.9
S666 184.97421 6.35936 22.6
S667 117.59704 26.36729 14.5
S668 185.69057 6.4357 26.4
S669 118.82172 27.62971 12.7
S670 183.3649 4.77857 15.2
S671 117.35982 28.90502 32.9
S672 183.53961 5.88765 23.7
S673 183.76459 6.0002 28.3
S674 184.22832 5.94706 42.5
S675 184.13345 6.00923 34.6
S676 184.70459 6.21422 26.3
S677 184.60942 5.89302 22.4
S678 173.702 13.1363 55.2
S679 173.49583 13.01813 10.2
S680 175.47166 14.2845 10.3
S681 175.52231 13.48523 30.7
S682 195.02182 29.49238 15.7
S683 195.17168 28.87693 12.7
S684 193.87874 28.95736 29.5
S685 192.36241 30.24889 32.7
S686 194.80661 30.60504 13.5
S687 194.80073 30.44137 17.0
S688 174.11708 12.02428 18.8
S689 173.99499 12.79842 32.6
S690 174.82504 13.01535 11.4
S691 174.60039 12.99644 12.6
S692 175.20346 13.71069 44.9
S693 174.28567 14.5527 20.1
S694 173.64619 13.70609 17.4
S695 172.70526 -0.98837 44.8
S696 172.33893 -0.14106 10.8
S697 171.43401 -0.38024 19.3
S698 171.0531 -0.38166 14.9
S699 170.60471 -0.68756 13.9
S700 171.35675 -2.13458 20.3
S701 171.15968 -0.87136 11.3
S702 49.98776 16.95307 39.7
S703 49.87644 18.07259 12.6
S704 48.49625 18.23543 28.2
S705 48.51435 19.21621 26.2
S706 50.64203 18.94162 38.3
S707 188.89778 15.40109 24.8
S708 189.01572 14.61088 47.1
S709 189.04771 14.87433 11.0
S710 189.06105 14.94979 49.7
S711 188.59538 15.22002 21.7
S712 188.77685 15.60323 21.2
S713 188.03558 15.3783 37.4
S714 187.77588 15.08498 21.1
S715 138.86203 44.99335 19.9
S716 190.17021 14.8689 32.8
S717 187.71979 15.40011 33.3
S718 187.42325 14.30428 21.5
S719 187.49504 14.18321 30.4
S720 164.10837 3.25036 9.9
S721 164.27681 2.84326 24.9
S722 139.42177 43.92569 13.1
S723 141.34209 43.85886 38.6
S724 163.46168 4.60199 16.0
S725 163.40021 4.41801 10.2
S726 163.28711 4.16362 13.4
S727 188.28975 14.55096 26.8
S728 188.76083 14.00077 13.9
S729 188.68172 14.48163 39.1
S730 165.02097 3.49706 11.7
S731 188.5096 13.40276 44.3
S732 188.82457 14.10024 11.4
S733 165.18385 3.43293 60.4
S734 188.86021 13.43709 13.2
S735 165.61716 4.17061 18.9
S736 152.59825 3.28326 13.4
S737 151.86739 3.37073 22.5
S738 152.0206 4.22952 21.8
S739 151.93356 3.94159 15.0
S740 142.23537 42.26257 24.7
S741 194.49554 48.53599 14.2
S742 193.95924 49.41595 13.7
S743 151.39877 3.87955 15.5
S744 153.28923 3.01371 9.8
S745 143.05484 43.85158 46.5
S746 143.17549 43.82007 47.0
S747 144.50124 42.99597 18.6
S748 179.75319 5.16714 15.2
S749 179.78056 5.33956 11.2
S750 179.59529 5.36166 23.9
S751 195.59529 49.79103 17.0
S752 179.55304 5.3429 25.9
S753 179.34726 5.04436 36.1
S754 196.96182 49.50886 23.0
S755 179.93024 7.00523 11.1
S756 180.37392 5.4498 17.3
S757 152.91801 2.15233 20.4
S758 178.50838 6.1168 43.0
S759 152.18558 2.80406 50.4
S760 178.85487 7.14141 10.7
S761 178.98077 7.27359 15.1
S762 178.65228 6.8835 16.5
S763 151.6694 1.93875 21.5
S764 162.86992 27.48156 16.4
S765 163.54178 27.83167 15.1
S766 162.28993 27.68246 27.0
S767 162.87724 28.34881 20.3
S768 162.36752 29.47405 20.4
S769 162.39613 28.3851 25.4
S770 162.62733 28.7286 10.3
S771 163.57652 28.79098 14.7
S772 185.50706 41.39072 20.4
S773 185.4729 40.35282 17.1
S774 184.38708 41.28006 43.9
S775 184.276 38.94819 47.7
S776 185.82008 39.37361 43.3
S777 186.19028 39.10861 21.5
S778 163.14181 44.69952 11.8
S779 163.00433 44.33389 20.7
S780 162.15504 43.28417 36.1
S781 163.32019 42.83117 23.6
S782 164.33108 43.07819 29.5
S783 190.74156 14.8884 12.7
S784 190.67087 15.21839 10.6
S785 190.17068 14.23581 28.4
S786 163.29773 44.90129 32.0
S787 163.54196 43.9021 17.9
S788 190.19214 15.05997 38.6
S789 190.31332 13.23074 50.5
S790 190.40282 13.46973 24.1
S791 190.52312 14.20762 37.7
S792 191.08249 15.4534 42.6
S793 190.85446 13.24458 10.7
S794 191.46077 13.46809 11.8
S795 191.10654 12.79947 38.3
S796 196.65126 9.37663 10.9
S797 196.3743 9.10836 10.4
S798 196.55289 9.9786 9.7
S799 196.76636 9.73236 43.8
S800 196.28921 9.92174 43.8
S801 196.41083 10.02027 44.2
S802 196.05185 10.54162 18.4
S803 196.20915 9.91841 43.2
S804 196.13074 10.28495 46.3
