name, ra,  dec,
S485 , 113.1349 , 36.7788 ,
S486 , 116.3652 , 26.9788 ,
S487 , 117.4322 , 29.3997 ,
S488 , 120.9445 , 6.114 ,
S489 , 120.8451 , 7.7164 ,
S490 , 121.4999 , 7.7757 ,
S491 , 122.1732 , 7.6251 ,
S492 , 135.9994 , 25.0989 ,
S493 , 242.1023 , 5.2053 ,
S494 , 241.6086 , 4.5825 ,
S495 , 241.5078 , 4.5028 ,
S496 , 241.574 , 4.8576 ,
S497 , 241.5468 , 4.4653 ,
S498 , 241.6783 , 5.0547 ,
S499 , 241.1189 , 4.9197 ,
S500 , 240.9328 , 4.5122 ,
S501 , 240.5424 , 4.901 ,
S502 , 240.4599 , 5.4056 ,
S503 , 240.7521 , 4.5353 ,
S504 , 239.999 , 5.7646 ,
S505 , 240.2558 , 5.9527 ,
S506 , 241.3308 , 6.8158 ,
S507 , 241.3465 , 6.2824 ,
S508 , 242.0825 , 6.0778 ,
S509 , 244.5205 , 51.6601 ,
S510 , 244.0023 , 51.243 ,
S511 , 244.4918 , 51.9067 ,
S512 , 244.6308 , 52.3985 ,
S513 , 243.5621 , 51.7731 ,
S514 , 241.7479 , 52.1127 ,
S515 , 241.9434 , 51.8727 ,
S516 , 241.5721 , 52.1973 ,
S517 , 242.0085 , 51.3009 ,
S518 , 241.1394 , 52.1047 ,
S519 , 240.5061 , 53.1491 ,
S520 , 240.7266 , 52.7148 ,
S521 , 242.2693 , 53.7542 ,
S522 , 242.3306 , 53.6198 ,
S523 , 243.1367 , 52.7329 ,
S524 , 244.9331 , 16.5197 ,
S525 , 244.7808 , 16.4739 ,
S526 , 243.7927 , 16.3328 ,
S527 , 243.3808 , 15.6565 ,
S528 , 243.3525 , 15.8106 ,
S529 , 242.519 , 17.3091 ,
S530 , 242.8481 , 17.2392 ,
S531 , 243.0806 , 16.823 ,
S532 , 243.793 , 17.6951 ,
S533 , 243.6161 , 17.2114 ,
S534 , 244.8011 , 17.1726 ,
S535 , 244.7129 , 16.8176 ,
S536 , 243.1432 , 2.9403 ,
S537 , 242.6877 , 2.8868 ,
S538 , 242.6709 , 2.8763 ,
S539 , 242.1886 , 3.7355 ,
S540 , 241.4471 , 3.6538 ,
S541 , 241.3105 , 3.1351 ,
S542 , 241.2609 , 3.3875 ,
S543 , 241.3777 , 3.3829 ,
S544 , 241.4502 , 4.16 ,
S545 , 242.1555 , 4.8601 ,
S546 , 242.2588 , 5.1072 ,
S547 , 242.7411 , 4.4617 ,
S548 , 243.006 , 4.944 ,
S549 , 242.9354 , 4.749 ,
S550 , 243.4862 , 4.4315 ,
S551 , 254.253 , 23.8724 ,
S552 , 254.3713 , 23.5476 ,
S553 , 253.994 , 22.8136 ,
S554 , 253.59 , 22.7898 ,
S555 , 253.5583 , 23.5976 ,
S556 , 253.3649 , 22.8408 ,
S557 , 252.2356 , 23.627 ,
