name, ra,  dec,
S345 , 316.8988 , 1.0893 , 12.8 ,
S346 , 317.5242 , 0.5836 , 14.62 ,
S347 , 317.8091 , 0.4929 , 25.3 ,
S348 , 317.7412 , 1.0582 , 24.47 ,
S349 , 317.7896 , 0.7746 , 11.57 ,
S350 , 315.7496 , -0.4048 , 32.95 ,
S351 , 317.4719 , 0.7767 , 37.84 ,
S352 , 168.3277 , 37.9905 , 23.86 ,
S353 , 10.6164 , 23.8322 , 17.98 ,
S354 , 10.777 , 25.4159 , 10.62 ,
S355 , 20.325 , 25.6758 , 21.98 ,
S356 , 19.7515 , 24.5982 , 8.8 ,
S357 , 18.9525 , 24.4574 , 17.84 ,
S358 , 18.2197 , 24.6869 , 43.88 ,
S359 , 19.1409 , 26.3144 , 14.38 ,
S360 , 19.1925 , 26.2813 , 8.08 ,
S361 , 20.2851 , 25.8891 , 11.83 ,
S362 , 20.097 , 26.6347 , 29.24 ,
S363 , 20.6853 , 31.0547 , 13.11 ,
S364 , 19.2063 , 31.5261 , 32.97 ,
S365 , 18.6006 , 31.6884 , 11.93 ,
S366 , 19.112 , 32.1345 , 10.11 ,
S367 , 19.2768 , 31.8035 , 32.27 ,
S368 , 19.5315 , 32.6095 , 13.28 ,
S369 , 19.951 , 32.1698 , 8.42 ,
S370 , 20.9083 , 32.012 , 38.37 ,
S371 , 21.2076 , 32.3611 , 7.07 ,
S372 , 22.4074 , 38.1372 , 15.42 ,
S373 , 20.1517 , 38.6457 , 36.7 ,
S374 , 20.0604 , 39.8582 , 11.57 ,
S375 , 20.3842 , 39.9645 , 20.26 ,
S376 , 25.0845 , 22.676 , 30.28 ,
S377 , 24.8229 , 22.9751 , 11.32 ,
S378 , 24.3337 , 22.7079 , 13.48 ,
S379 , 24.1131 , 23.2482 , 11.68 ,
S380 , 24.1515 , 23.3639 , 36.26 ,
S381 , 24.1829 , 22.9364 , 30.1 ,
S382 , 23.9673 , 22.8468 , 10.06 ,
S383 , 23.8285 , 22.803 , 32.11 ,
S384 , 24.0223 , 24.6714 , 17.59 ,
S385 , 24.1013 , 24.7575 , 17.52 ,
S386 , 24.3199 , 24.8601 , 9.98 ,
S387 , 23.9178 , 23.7582 , 29.17 ,
S388 , 23.825 , 24.015 , 17.2 ,
S389 , 24.4134 , 24.6915 , 16.27 ,
S390 , 24.419 , 24.202 , 15.17 ,
S391 , 24.5993 , 24.1191 , 21.75 ,
S392 , 25.4988 , 24.168 , 31.06 ,
S393 , 31.1318 , -0.4685 , 28.11 ,
S394 , 30.5647 , -0.2247 , 19.37 ,
S395 , 30.7519 , -0.114 , 21.53 ,
S396 , 28.8846 , -0.119 , 18.22 ,
S397 , 28.7725 , -0.0725 , 20.26 ,
S398 , 32.2823 , 21.5347 , 24.53 ,
S399 , 31.9861 , 21.9005 , 23.04 ,
S400 , 31.8242 , 22.3027 , 17.56 ,
S401 , 30.921 , 22.4896 , 20.11 ,
S402 , 32.0575 , 23.6261 , 16.78 ,
S403 , 32.5738 , 22.9395 , 13.62 ,
S404 , 37.2662 , -8.7999 , 23.17 ,
S405 , 37.3876 , -8.6149 , 28.32 ,
S406 , 36.5976 , -9.578 , 16.06 ,
S407 , 36.6677 , -7.5979 , 34.33 ,
S408 , 37.2974 , -7.318 , 17.07 ,
S409 , 37.6613 , -7.5946 , 18.17 ,
S410 , 37.8804 , -7.3645 , 11.34 ,
S411 , 38.7898 , -8.1283 , 17.88 ,
S412 , 38.7887 , -8.4439 , 10.49 ,
S413 , 38.6627 , -8.2666 , 30.54 ,
S414 , 48.3991 , -0.2562 , 27.25 ,
S415 , 48.3783 , -0.1578 , 11.36 ,
S416 , 47.3409 , -1.228 , 22.11 ,
S417 , 46.8459 , -0.8207 , 19.34 ,
S418 , 46.7964 , 0.2104 , 24.58 ,
S419 , 46.7467 , 0.3349 , 34.15 ,
S420 , 52.9433 , -0.8084 , 17.17 ,
S421 , 51.746 , -0.4782 , 13.73 ,
S422 , 52.0385 , 0.9711 , 25.64 ,
S423 , 53.2965 , 0.5126 , 8.62 ,
S424 , 53.4036 , 0.0291 , 22.49 ,
S425 , 53.9348 , 0.8364 , 14.95 ,
S426 , 56.476 , -7.343 , 11.85 ,
S427 , 56.7808 , -6.6033 , 13.27 ,
S428 , 56.0338 , -6.5863 , 22.01 ,
S429 , 55.4693 , -7.5328 , 16.26 ,
S430 , 54.7507 , -6.6229 , 10.1 ,
S431 , 54.9446 , -7.2595 , 27.15 ,
S432 , 55.5779 , -6.1267 , 15.7 ,
S433 , 55.7287 , -6.0017 , 13.91 ,
S434 , 60.7121 , -6.1751 , 7.81 ,
S435 , 59.419 , -6.082 , 6.42 ,
S436 , 58.7172 , -6.5715 , 11.82 ,
S437 , 58.8339 , -6.882 , 20.16 ,
S438 , 58.1528 , -6.1085 , 22.36 ,
S439 , 58.7163 , -5.0374 , 6.59 ,
S440 , 58.7081 , -5.1903 , 6.51 ,
S441 , 58.5272 , -5.628 , 10.39 ,
S442 , 59.4836 , -4.8148 , 13.81 ,
S443 , 82.5993 , 1.1544 , 17.17 ,
S444 , 112.293 , 34.7879 , 11.17 ,
S445 , 113.7776 , 36.1016 , 9.66 ,
S446 , 115.3094 , 19.2594 , 28.62 ,
S447 , 114.5998 , 18.5724 , 35.05 ,
S448 , 115.7055 , 19.1893 , 8.29 ,
S449 , 117.5091 , 18.3144 , 29.44 ,
S450 , 115.2514 , 28.2385 , 9.18 ,
S451 , 115.5977 , 28.3209 , 19.94 ,
S452 , 117.535 , 28.6828 , 8.85 ,
S453 , 122.3537 , 6.1386 , 25.36 ,
S454 , 121.4426 , 5.9717 , 15.11 ,
S455 , 120.2395 , 7.0974 , 29.67 ,
S456 , 120.0909 , 7.2001 , 17.72 ,
S457 , 120.2613 , 6.789 , 16.65 ,
S458 , 121.5748 , 7.2519 , 10.52 ,
S459 , 125.4015 , 0.0109 , 43.39 ,
S460 , 124.4648 , -0.1996 , 17.28 ,
S461 , 123.4809 , -0.7884 , 11.57 ,
S462 , 122.8202 , 0.6515 , 9.5 ,
S463 , 123.6672 , 0.7335 , 33.48 ,
S464 , 124.2652 , 0.5088 , 10.18 ,
S465 , 123.9631 , 1.1689 , 31.76 ,
S466 , 19.981 , 26.4143 , 45.23 ,
S467 , 21.3396 , 31.4524 , 34.4 ,
S468 , 20.4184 , 39.6735 , 37.87 ,
S469 , 20.6305 , 38.4132 , 30.79 ,
S470 , 20.5909 , 38.4538 , 33.82 ,
S471 , 19.7319 , 39.5141 , 42.49 ,
S472 , 25.9656 , 22.7863 , 69.22 ,
S473 , 23.8296 , 22.5733 , 38.9 ,
S474 , 23.4145 , 24.3451 , 33.33 ,
S475 , 23.1897 , 23.7788 , 25.5 ,
S476 , 23.7816 , 23.88 , 35.27 ,
S477 , 38.237 , -7.8192 , 41.44 ,
S478 , 47.8011 , -1.2036 , 31.89 ,
S479 , 47.4686 , 0.9589 , 33.27 ,
S480 , 53.0457 , 0.1442 , 44.61 ,
S481 , 56.2493 , -6.8677 , 26.08 ,
S482 , 59.386 , -4.6183 , 28.49 ,
S483 , 59.9228 , -4.9266 , 38.5 ,
S484 , 111.9342 , 35.6966 , 36.2 ,
S485 , 113.1349 , 36.7788 , 41.74 ,
S486 , 116.3652 , 26.9788 , 82.22 ,
S487 , 117.4322 , 29.3997 , 26.1 ,
S488 , 120.9445 , 6.114 , 29.44 ,
S489 , 120.8451 , 7.7164 , 28.29 ,
S490 , 121.4999 , 7.7757 , 37.75 ,
S491 , 122.1732 , 7.6251 , 27.75 ,
S492 , 135.9994 , 25.0989 , 29.79 ,
S493 , 242.1023 , 5.2053 , 11.82 ,
S494 , 241.6086 , 4.5825 , 20.6 ,
S495 , 241.5078 , 4.5028 , 14.85 ,
S496 , 241.574 , 4.8576 , 9.42 ,
S497 , 241.5468 , 4.4653 , 11.95 ,
S498 , 241.6783 , 5.0547 , 11.55 ,
S499 , 241.1189 , 4.9197 , 17.72 ,
